response,age,income,response_pt_2,age_range,trigrams
| would need to borrow money.,48.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would need to borrow money. ,45-54,"[('would', 'need', 'borrow'), ('need', 'borrow', 'money')]"
Was able to stay out of debt while not aloud to work,30.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Was able to stay out of debt while not aloud to work ,25-34,"[('able', 'stay', 'debt'), ('stay', 'debt', 'aloud'), ('debt', 'aloud', 'work')]"
It has helped my family.,57.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  It has helped my family.,55-64,[]
Hopefully my children will take care of me.,79.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Hopefully my children will take care of me.,65+,"[('hopefully', 'children', 'take'), ('children', 'take', 'care')]"
get sick,21.0,"Income: More than $150,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? get sick,18-24,[]
Helping me buy a few things that I needed like my medical needs,66.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Helping me buy a few things that I needed like my medical needs ,65+,"[('helping', 'buy', 'things'), ('buy', 'things', 'needed'), ('things', 'needed', 'like'), ('needed', 'like', 'medical'), ('like', 'medical', 'needs')]"
1 donated it to charities,73.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  1 donated it to charities,65+,[]
be homeless,69.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? be homeless,65+,[]
Bankrupt,72.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Bankrupt,65+,[]
Helped to pay bills and stock up on groceries,54.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped to pay bills and stock up on groceries ,45-54,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'stock'), ('bills', 'stock', 'groceries')]"
it has help me buy the things I need and without it | couldn't afford it,64.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  it has help me buy the things I need and without it | couldn't afford it ,55-64,"[('help', 'buy', 'things'), ('buy', 'things', 'need'), ('things', 'need', 'without'), ('need', 'without', 'could'), ('without', 'could', 'afford')]"
I would be homeless,54.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be homeless,45-54,[]
I don’t know I'll be very upset,30.0,"Income: $100,001 - $150,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I don’t know I'll be very upset,25-34,[]
Helped pay bills when my spouse was laid off,41.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  Helped pay bills when my spouse was laid off ,35-44,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'spouse'), ('bills', 'spouse', 'laid')]"
It helped me tremendously in paying bills,59.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  It helped me tremendously in paying bills,55-64,"[('helped', 'tremendously', 'paying'), ('tremendously', 'paying', 'bills')]"
| would be struggling for sure,67.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be struggling for sure,65+,"[('would', 'struggling', 'sure')]"
| would be worried and scared.,68.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be worried and scared. ,65+,"[('would', 'worried', 'scared')]"
Greatly appreciated.,32.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Greatly appreciated.,25-34,[]
Makes it possible to pay for bills and food,22.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Makes it possible to pay for bills and food,18-24,"[('makes', 'possible', 'pay'), ('possible', 'pay', 'bills'), ('pay', 'bills', 'food')]"
Keep looking for a job,43.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Keep looking for a job,35-44,"[('keep', 'looking', 'job')]"
Sad,38.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Sad,35-44,[]
I can pay my bills & put food on the table. But the money is running out. | wish the federal govt. would take care of the taxpayers like they take care of big corporations & Trump's cronies.,55.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  I can pay my bills & put food on the table. But the money is running out. | wish the federal govt. would take care of the taxpayers like they take care of big corporations & Trump's cronies. ,55-64,"[('pay', 'bills', 'put'), ('bills', 'put', 'food'), ('put', 'food', 'table'), ('food', 'table', 'money'), ('table', 'money', 'running'), ('money', 'running', 'wish'), ('running', 'wish', 'federal'), ('wish', 'federal', 'govt'), ('federal', 'govt', 'would'), ('govt', 'would', 'take'), ('would', 'take', 'care'), ('take', 'care', 'taxpayers'), ('care', 'taxpayers', 'like'), ('taxpayers', 'like', 'take'), ('like', 'take', 'care'), ('take', 'care', 'big'), ('care', 'big', 'corporations'), ('big', 'corporations', 'trump'), ('corporations', 'trump', 'cronies')]"
It helped me pay bills for 2 months but now I need more,36.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  It helped me pay bills for 2 months but now I need more ,35-44,"[('helped', 'pay', 'bills'), ('pay', 'bills', '2'), ('bills', '2', 'months'), ('2', 'months', 'need')]"
| wouldn't feel financially secure about my future.,36.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  | wouldn't feel financially secure about my future. ,35-44,"[('would', 'feel', 'financially'), ('feel', 'financially', 'secure'), ('financially', 'secure', 'future')]"
harder to buy food,69.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? harder to buy food,65+,"[('harder', 'buy', 'food')]"
Help pay bills,54.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Help pay bills,45-54,"[('help', 'pay', 'bills')]"
Able to boost my local economy as well as keeping my family fed and cared for,33.0,"Income: $100,001 - $150,000",What effect has receiving this additional money had on you?  Able to boost my local economy as well as keeping my family fed and cared for ,25-34,"[('able', 'boost', 'local'), ('boost', 'local', 'economy'), ('local', 'economy', 'well'), ('economy', 'well', 'keeping'), ('well', 'keeping', 'family'), ('keeping', 'family', 'fed'), ('family', 'fed', 'cared')]"
I feel grateful,67.0,"Income: More than $150,000",What effect has receiving this additional money had on you?  I feel grateful,65+,[]
DONT KNOW,70.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  DONT KNOW,65+,[]
We would probably have our utilities shut  off.,24.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?     We would probably have our utilities shut  off.,18-24,"[('would', 'probably', 'utilities'), ('probably', 'utilities', 'shut')]"
Helped me pay bills and debt,27.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped me pay bills and debt,25-34,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'debt')]"
Not much it helped lower credit card debt,66.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Not much it helped lower credit card debt,65+,"[('much', 'helped', 'lower'), ('helped', 'lower', 'credit'), ('lower', 'credit', 'card'), ('credit', 'card', 'debt')]"
Money would be tight but | would be ok,26.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Money would be tight but | would be ok,25-34,"[('money', 'would', 'tight'), ('would', 'tight', 'would'), ('tight', 'would', 'ok')]"
I would be in shit city. | am looking forward to that next check because | am a senior and I cannot buy enough healthy foods because of the costs that have been seriusly inflated.,76.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be in shit city. | am looking forward to that next check because | am a senior and I cannot buy enough healthy foods because of the costs that have been seriusly inflated. ,65+,"[('would', 'shit', 'city'), ('shit', 'city', 'looking'), ('city', 'looking', 'forward'), ('looking', 'forward', 'next'), ('forward', 'next', 'check'), ('next', 'check', 'senior'), ('check', 'senior', 'buy'), ('senior', 'buy', 'enough'), ('buy', 'enough', 'healthy'), ('enough', 'healthy', 'foods'), ('healthy', 'foods', 'costs'), ('foods', 'costs', 'seriusly'), ('costs', 'seriusly', 'inflated')]"
I lose everything,29.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I lose everything,25-34,[]
Not much it helped lower credit card debt,66.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Not much it helped lower credit card debt,65+,"[('much', 'helped', 'lower'), ('helped', 'lower', 'credit'), ('lower', 'credit', 'card'), ('credit', 'card', 'debt')]"
Paid a dentist bill and bought some beef with the rest.,68.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  Paid a dentist bill and bought some beef with the rest. ,65+,"[('paid', 'dentist', 'bill'), ('dentist', 'bill', 'bought'), ('bill', 'bought', 'beef'), ('bought', 'beef', 'rest')]"
| wouldn't be able to eat as much,25.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | wouldn't be able to eat as much,25-34,"[('would', 'able', 'eat'), ('able', 'eat', 'much')]"
We would be struggling,33.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We would be struggling,25-34,[]
It helped pay bills that my family was behind on,39.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  It helped pay bills that my family was behind on ,35-44,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'family'), ('bills', 'family', 'behind')]"
Paying down debt to prepare ourselves if my husband loses his job or is put on furlough,68.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Paying down debt to prepare ourselves if my husband loses his job or is put on furlough,65+,"[('paying', 'debt', 'prepare'), ('debt', 'prepare', 'husband'), ('prepare', 'husband', 'loses'), ('husband', 'loses', 'job'), ('loses', 'job', 'put'), ('job', 'put', 'furlough')]"
| would be homeless and hungry,20.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be homeless and hungry,18-24,"[('would', 'homeless', 'hungry')]"
lose alot of things,41.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? lose alot of things,35-44,"[('lose', 'alot', 'things')]"
| wouldn’t be able to support my family,23.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | wouldn’t be able to support my family,18-24,"[('able', 'support', 'family')]"
Be hard to live,66.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Be hard to live,65+,[]
Helped me to pay bills and buy food.,72.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Helped me to pay bills and buy food.,65+,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'buy'), ('bills', 'buy', 'food')]"
"We were able to pay rent for two months, which we otherwise couldn’t because my husband lost all work from March - May due to Covid (and is still at only about 20% of his usual work).",49.0,"Income: Under $25,000","What effect has receiving this additional money had on you?  We were able to pay rent for two months, which we otherwise couldn’t because my husband lost all work from March - May due to Covid (and is still at only about 20% of his usual work).    ",45-54,"[('able', 'pay', 'rent'), ('pay', 'rent', 'two'), ('rent', 'two', 'months'), ('two', 'months', 'otherwise'), ('months', 'otherwise', 'husband'), ('otherwise', 'husband', 'lost'), ('husband', 'lost', 'work'), ('lost', 'work', 'march'), ('work', 'march', 'may'), ('march', 'may', 'due'), ('may', 'due', 'covid'), ('due', 'covid', 'still'), ('covid', 'still', '20'), ('still', '20', 'usual'), ('20', 'usual', 'work')]"
Would be hard on me. | am on a fixed income.,62.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Would be hard on me. | am on a fixed income. ,55-64,"[('would', 'hard', 'fixed'), ('hard', 'fixed', 'income')]"
Fall more behind,41.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Fall more behind,35-44,[]
Helped with bills,47.0,"Income: More than $150,000",What effect has receiving this additional money had on you?  Helped with bills,45-54,[]
Money always helps.,28.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  Money always helps.,25-34,"[('money', 'always', 'helps')]"
It allowed me an extra month before my car was repossessed and my phone was turned off,39.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  It allowed me an extra month before my car was repossessed and my phone was turned off,35-44,"[('allowed', 'extra', 'month'), ('extra', 'month', 'car'), ('month', 'car', 'repossessed'), ('car', 'repossessed', 'phone'), ('repossessed', 'phone', 'turned')]"
Have trouble paying bills,40.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Have trouble paying bills,35-44,"[('trouble', 'paying', 'bills')]"
Ihave. We're struggling to afford food and electricity.,26.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Ihave. We're struggling to afford food and electricity. ,25-34,"[('ihave', 'struggling', 'afford'), ('struggling', 'afford', 'food'), ('afford', 'food', 'electricity')]"
It has helped pay my bills but it wasn't enough,50.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  It has helped pay my bills but it wasn't enough ,45-54,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'enough')]"
"Not be bke to pay my bills. Car apartment, food electric bill ..etc.",65.0,"Income: Under $25,000","What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Not be bke to pay my bills. Car apartment, food electric bill ..etc. ",65+,"[('bke', 'pay', 'bills'), ('pay', 'bills', 'car'), ('bills', 'car', 'apartment'), ('car', 'apartment', 'food'), ('apartment', 'food', 'electric'), ('food', 'electric', 'bill'), ('electric', 'bill', 'etc')]"
I'd be sccrewed,40.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'd be sccrewed,35-44,[]
I would be struggling,22.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be struggling,18-24,[]
It went into our savings and paid a few bills.,38.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  It went into our savings and paid a few bills. ,35-44,"[('went', 'savings', 'paid'), ('savings', 'paid', 'bills')]"
Provided a level of comfort. My financial level is fairly dismal.,68.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Provided a level of comfort. My financial level is fairly dismal. ,65+,"[('provided', 'level', 'comfort'), ('level', 'comfort', 'financial'), ('comfort', 'financial', 'level'), ('financial', 'level', 'fairly'), ('level', 'fairly', 'dismal')]"
lose alot of things,41.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? lose alot of things,35-44,"[('lose', 'alot', 'things')]"
Probably lost me apartment,31.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Probably lost me apartment,25-34,"[('probably', 'lost', 'apartment')]"
We will likely be evicted from being unable to pay rent due to loss of work from COVID.,49.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We will likely be evicted from being unable to pay rent due to loss of work from COVID. ,45-54,"[('likely', 'evicted', 'unable'), ('evicted', 'unable', 'pay'), ('unable', 'pay', 'rent'), ('pay', 'rent', 'due'), ('rent', 'due', 'loss'), ('due', 'loss', 'work'), ('loss', 'work', 'covid')]"
Made it so i could pay my monthly bills,59.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Made it so i could pay my monthly bills,55-64,"[('made', 'could', 'pay'), ('could', 'pay', 'monthly'), ('pay', 'monthly', 'bills')]"
It has make life more comfortable,36.0,"Income: $100,001 - $150,000",What effect has receiving this additional money had on you?  It has make life more comfortable,35-44,"[('make', 'life', 'comfortable')]"
I would have nothing,27.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would have nothing,25-34,[]
| wouldn't be able to pay for my bills,22.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | wouldn't be able to pay for my bills,18-24,"[('would', 'able', 'pay'), ('able', 'pay', 'bills')]"
Makes it possible to pay for bills and food,22.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Makes it possible to pay for bills and food,18-24,"[('makes', 'possible', 'pay'), ('possible', 'pay', 'bills'), ('pay', 'bills', 'food')]"
It allowed me an extra month before my car was repossessed and my phone was turned off,39.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  It allowed me an extra month before my car was repossessed and my phone was turned off,35-44,"[('allowed', 'extra', 'month'), ('extra', 'month', 'car'), ('month', 'car', 'repossessed'), ('car', 'repossessed', 'phone'), ('repossessed', 'phone', 'turned')]"
Homeless,42.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Homeless,35-44,[]
lam broke,58.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? lam broke,55-64,[]
Helped pay bills while out of work,28.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  Helped pay bills while out of work,25-34,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'work')]"
Rent security and food,30.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Rent security and food,25-34,"[('rent', 'security', 'food')]"
Great it took my Dental bill down by a year,63.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  Great it took my Dental bill down by a year,55-64,"[('great', 'took', 'dental'), ('took', 'dental', 'bill'), ('dental', 'bill', 'year')]"
I wouldnt be able to pay my bills,36.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I wouldnt be able to pay my bills,35-44,"[('wouldnt', 'able', 'pay'), ('able', 'pay', 'bills')]"
i would be on the street.,39.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  i would be on the street. ,35-44,[]
Devastated,23.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Devastated,18-24,[]
It has helped pay my bills but it wasn't enough,50.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  It has helped pay my bills but it wasn't enough ,45-54,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'enough')]"
I would have no food or money for bills,27.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would have no food or money for bills,25-34,"[('would', 'food', 'money'), ('food', 'money', 'bills')]"
We would be homeless,32.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We would be homeless,25-34,[]
Provided a level of comfort. My financial level is fairly dismal.,68.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  Provided a level of comfort. My financial level is fairly dismal. ,65+,"[('provided', 'level', 'comfort'), ('level', 'comfort', 'financial'), ('comfort', 'financial', 'level'), ('financial', 'level', 'fairly'), ('level', 'fairly', 'dismal')]"
It helps me to survive and helps to make me food to my family.,27.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  It helps me to survive and helps to make me food to my family. ,25-34,"[('helps', 'survive', 'helps'), ('survive', 'helps', 'make'), ('helps', 'make', 'food'), ('make', 'food', 'family')]"
Would be doing without a lot of things our family needs.,54.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Would be doing without a lot of things our family needs. ,45-54,"[('would', 'without', 'lot'), ('without', 'lot', 'things'), ('lot', 'things', 'family'), ('things', 'family', 'needs')]"
I would be on the streets,67.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be on the streets,65+,[]
It is very needed,65.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  It is very needed,65+,[]
I was able to purchase item's I needed for my home,67.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  I was able to purchase item's I needed for my home ,65+,"[('able', 'purchase', 'item'), ('purchase', 'item', 'needed'), ('item', 'needed', 'home')]"
It helped a lot to stay ahead of the bills.,82.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  It helped a lot to stay ahead of the bills.,65+,"[('helped', 'lot', 'stay'), ('lot', 'stay', 'ahead'), ('stay', 'ahead', 'bills')]"
Homeless or die,43.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Homeless or die,35-44,[]
Homeless and in debt,33.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Homeless and in debt,25-34,[]
I would be penniless,75.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be penniless,65+,[]
has helped with better food and some bills,60.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  has helped with better food and some bills,55-64,"[('helped', 'better', 'food'), ('better', 'food', 'bills')]"
it has helped tremendously toward paying bills,60.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  it has helped tremendously toward paying bills ,55-64,"[('helped', 'tremendously', 'toward'), ('tremendously', 'toward', 'paying'), ('toward', 'paying', 'bills')]"
I got my car fixed so I didn’t have to walk 4 miles to work everyday,20.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  I got my car fixed so I didn’t have to walk 4 miles to work everyday ,18-24,"[('got', 'car', 'fixed'), ('car', 'fixed', 'walk'), ('fixed', 'walk', '4'), ('walk', '4', 'miles'), ('4', 'miles', 'work'), ('miles', 'work', 'everyday')]"
Possibly lose my home,42.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Possibly lose my home,35-44,"[('possibly', 'lose', 'home')]"
| would loose my housing,61.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would loose my housing,55-64,"[('would', 'loose', 'housing')]"
Delay in paying bills,61.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Delay in paying bills,55-64,"[('delay', 'paying', 'bills')]"
Glad the government could get their crap together and actually help people,26.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Glad the government could get their crap together and actually help people ,25-34,"[('glad', 'government', 'could'), ('government', 'could', 'get'), ('could', 'get', 'crap'), ('get', 'crap', 'together'), ('crap', 'together', 'actually'), ('together', 'actually', 'help'), ('actually', 'help', 'people')]"
be on the street,52.0,"Income: $50,001 - $75,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? be on the street,45-54,[]
I would loose everything,56.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would loose everything,55-64,"[('would', 'loose', 'everything')]"
"It's save me from going hungry. Groceries are much more expensive, especially critical on a low income fixed income. (I couldn't leave my home to shop since | am high risk, and delivery/tip not affordable. | couldn't use my SNAP benefit online to buy fresh/perishable low carb food for diabetic diet.)",71.0,"Income: $25,000 - $50,000","What effect has receiving this additional money had on you?  It's save me from going hungry. Groceries are much more expensive, especially critical on a low income fixed income. (I couldn't leave my home to shop since | am high risk, and delivery/tip not affordable. | couldn't use my SNAP benefit online to buy fresh/perishable low carb food for diabetic diet.) ",65+,"[('save', 'going', 'hungry'), ('going', 'hungry', 'groceries'), ('hungry', 'groceries', 'much'), ('groceries', 'much', 'expensive'), ('much', 'expensive', 'especially'), ('expensive', 'especially', 'critical'), ('especially', 'critical', 'low'), ('critical', 'low', 'income'), ('low', 'income', 'fixed'), ('income', 'fixed', 'income'), ('fixed', 'income', 'could'), ('income', 'could', 'leave'), ('could', 'leave', 'home'), ('leave', 'home', 'shop'), ('home', 'shop', 'since'), ('shop', 'since', 'high'), ('since', 'high', 'risk'), ('high', 'risk', 'affordable'), ('risk', 'affordable', 'could'), ('affordable', 'could', 'use'), ('could', 'use', 'snap'), ('use', 'snap', 'benefit'), ('snap', 'benefit', 'online'), ('benefit', 'online', 'buy'), ('online', 'buy', 'low'), ('buy', 'low', 'carb'), ('low', 'carb', 'food'), ('carb', 'food', 'diabetic'), ('food', 'diabetic', 'diet')]"
"It helped a little, but it's not enough to  compensate for the partial loss of income |  have due to the pandemic, 210% cut in pay due to furlough days.",45.0,"Income: $75,001 - $100,000","What effect has receiving this additional money had on you?     It helped a little, but it's not enough to  compensate for the partial loss of income |  have due to the pandemic, 210% cut in pay due to furlough days. ",45-54,"[('helped', 'little', 'enough'), ('little', 'enough', 'compensate'), ('enough', 'compensate', 'partial'), ('compensate', 'partial', 'loss'), ('partial', 'loss', 'income'), ('loss', 'income', 'due'), ('income', 'due', 'pandemic'), ('due', 'pandemic', '210'), ('pandemic', '210', 'cut'), ('210', 'cut', 'pay'), ('cut', 'pay', 'due'), ('pay', 'due', 'furlough'), ('due', 'furlough', 'days')]"
Id be screwed,30.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Id be screwed,25-34,[]
Probably be homeless.,39.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Probably be homeless. ,35-44,[]
I've been able to get by with bills and living expenses,29.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  I've been able to get by with bills and living expenses ,25-34,"[('able', 'get', 'bills'), ('get', 'bills', 'living'), ('bills', 'living', 'expenses')]"
paid for food and medicine which on a good day is very hard,79.0,"Income: Under $25,000",What effect has receiving this additional money had on you?  paid for food and medicine which on a good day is very hard ,65+,"[('paid', 'food', 'medicine'), ('food', 'medicine', 'good'), ('medicine', 'good', 'day'), ('good', 'day', 'hard')]"
Eviction,41.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Eviction,35-44,[]
It would depend on how long it took me to get back to full-time work.,49.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  It would depend on how long it took me to get back to full-time work. ,45-54,"[('would', 'depend', 'long'), ('depend', 'long', 'took'), ('long', 'took', 'get'), ('took', 'get', 'back'), ('get', 'back', 'work')]"
1 would have to live in my car,72.0,"Income: Under $25,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  1 would have to live in my car,65+,"[('would', 'live', 'car')]"
It helped me buy the things that was needed most,59.0,"Income: $25,000 - $50,000",What effect has receiving this additional money had on you?  It helped me buy the things that was needed most ,55-64,"[('helped', 'buy', 'things'), ('buy', 'things', 'needed')]"
Bankruptcy,65.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Bankruptcy,65+,[]
I was able to pay some bills that month,66.0,"Income: $75,001 - $100,000",What effect has receiving this additional money had on you?  I was able to pay some bills that month,65+,"[('able', 'pay', 'bills'), ('pay', 'bills', 'month')]"
"It has helped me pay of some bills, buy clothing for myself and my kids, and food",48.0,"Income: Under $25,000","What effect has receiving this additional money had on you?  It has helped me pay of some bills, buy clothing for myself and my kids, and food ",45-54,"[('helped', 'pay', 'bills'), ('pay', 'bills', 'buy'), ('bills', 'buy', 'clothing'), ('buy', 'clothing', 'kids'), ('clothing', 'kids', 'food')]"
Pass out,31.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Pass out,25-34,[]
I don't know what | would do,33.0,"Income: More than $150,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I don't know what | would do,25-34,[]
Helped pay bills,50.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Helped pay bills,45-54,"[('helped', 'pay', 'bills')]"
Ability to pay bills on time,56.0,"Income: $50,001 - $75,000",What effect has receiving this additional money had on you?  Ability to pay bills on time,55-64,"[('ability', 'pay', 'bills'), ('pay', 'bills', 'time')]"
I may loose my house,57.0,"Income: $75,001 - $100,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I may loose my house,55-64,"[('may', 'loose', 'house')]"
Not sure might need to borrow,45.0,"Income: $25,000 - $50,000",What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Not sure might need to borrow,45-54,"[('sure', 'might', 'need'), ('might', 'need', 'borrow')]"
