0
"How has losing or going without more aid impacted you?  it forces me to go out to buy food & household goods more often because | don't have enough money at one time  Age: 59, Income: Under $25,000  This person is represented by Ann Wagner (R, MO-02), who VOTED AGAINST the HEROES Act, which would have extended UI benefits and provided additional forms of economic relief. Since the HEROES Act passed the house in May, it has been blocked by Republican Senate leader Mitch McConnell  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  More stable Age: 30, Income: More than $150,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  we could end up being evicted unless my husband's hours pick up      Age: 45, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would need to borrow money.  Age: 48, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Was able to stay out of debt while not aloud to work  Age: 30, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It has helped my family. Age: 57, Income: Under $25,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Hopefully my children will take care of me. Age: 79, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? get sick Age: 21, Income: More than $150,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helping me buy a few things that I needed like my medical needs  Age: 66, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  1 donated it to charities Age: 73, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? be homeless Age: 69, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Bankrupt Age: 72, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped to pay bills and stock up on groceries  Age: 54, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  it has help me buy the things I need and without it | couldn't afford it  Age: 64, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be homeless Age: 54, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I don’t know I'll be very upset Age: 30, Income: $100,001 - $150,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped pay bills when my spouse was laid off  Age: 41, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It helped me tremendously in paying bills Age: 59, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be struggling for sure Age: 67, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be worried and scared.  Age: 68, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Greatly appreciated. Age: 32, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Makes it possible to pay for bills and food Age: 22, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Keep looking for a job Age: 43, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Sad Age: 38, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  I can pay my bills & put food on the table. But the money is running out. | wish the federal govt. would take care of the taxpayers like they take care of big corporations & Trump's cronies.  Age: 55, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It helped me pay bills for 2 months but now I need more  Age: 36, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  | wouldn't feel financially secure about my future.  Age: 36, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? harder to buy food Age: 69, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Help pay bills Age: 54, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Able to boost my local economy as well as keeping my family fed and cared for  Age: 33, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  I feel grateful Age: 67, Income: More than $150,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  DONT KNOW Age: 70, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?     We would probably have our utilities shut  off. Age: 24, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me pay bills and debt Age: 27, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Not much it helped lower credit card debt Age: 66, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Money would be tight but | would be ok Age: 26, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be in shit city. | am looking forward to that next check because | am a senior and I cannot buy enough healthy foods because of the costs that have been seriusly inflated.  Age: 76, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I lose everything Age: 29, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Not much it helped lower credit card debt Age: 66, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Paid a dentist bill and bought some beef with the rest.  Age: 68, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | wouldn't be able to eat as much Age: 25, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We would be struggling Age: 33, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It helped pay bills that my family was behind on  Age: 39, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Paying down debt to prepare ourselves if my husband loses his job or is put on furlough Age: 68, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be homeless and hungry Age: 20, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? lose alot of things Age: 41, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | wouldn’t be able to support my family Age: 23, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Be hard to live Age: 66, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me to pay bills and buy food. Age: 72, Income: Under $25,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  We were able to pay rent for two months, which we otherwise couldn’t because my husband lost all work from March - May due to Covid (and is still at only about 20% of his usual work).     Age: 49, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Would be hard on me. | am on a fixed income.  Age: 62, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Fall more behind Age: 41, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped with bills Age: 47, Income: More than $150,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Money always helps. Age: 28, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It allowed me an extra month before my car was repossessed and my phone was turned off Age: 39, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Have trouble paying bills Age: 40, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Ihave. We're struggling to afford food and electricity.  Age: 26, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It has helped pay my bills but it wasn't enough  Age: 50, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Not be bke to pay my bills. Car apartment, food electric bill ..etc.  Age: 65, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'd be sccrewed Age: 40, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be struggling Age: 22, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It went into our savings and paid a few bills.  Age: 38, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Provided a level of comfort. My financial level is fairly dismal.  Age: 68, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? lose alot of things Age: 41, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Probably lost me apartment Age: 31, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We will likely be evicted from being unable to pay rent due to loss of work from COVID.  Age: 49, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Made it so i could pay my monthly bills Age: 59, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It has make life more comfortable Age: 36, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would have nothing Age: 27, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | wouldn't be able to pay for my bills Age: 22, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Makes it possible to pay for bills and food Age: 22, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It allowed me an extra month before my car was repossessed and my phone was turned off Age: 39, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Homeless Age: 42, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? lam broke Age: 58, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped pay bills while out of work Age: 28, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Rent security and food Age: 30, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Great it took my Dental bill down by a year Age: 63, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I wouldnt be able to pay my bills Age: 36, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  i would be on the street.  Age: 39, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Devastated Age: 23, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It has helped pay my bills but it wasn't enough  Age: 50, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would have no food or money for bills Age: 27, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We would be homeless Age: 32, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Provided a level of comfort. My financial level is fairly dismal.  Age: 68, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It helps me to survive and helps to make me food to my family.  Age: 27, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Would be doing without a lot of things our family needs.  Age: 54, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be on the streets Age: 67, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It is very needed Age: 65, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  I was able to purchase item's I needed for my home  Age: 67, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It helped a lot to stay ahead of the bills. Age: 82, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Homeless or die Age: 43, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Homeless and in debt Age: 33, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be penniless Age: 75, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  has helped with better food and some bills Age: 60, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  it has helped tremendously toward paying bills  Age: 60, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  I got my car fixed so I didn’t have to walk 4 miles to work everyday  Age: 20, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Possibly lose my home Age: 42, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would loose my housing Age: 61, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Delay in paying bills Age: 61, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Glad the government could get their crap together and actually help people  Age: 26, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? be on the street Age: 52, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would loose everything Age: 56, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It's save me from going hungry. Groceries are much more expensive, especially critical on a low income fixed income. (I couldn't leave my home to shop since | am high risk, and delivery/tip not affordable. | couldn't use my SNAP benefit online to buy fresh/perishable low carb food for diabetic diet.)  Age: 71, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?     It helped a little, but it's not enough to  compensate for the partial loss of income |  have due to the pandemic, 210% cut in pay due to furlough days.  Age: 45, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Id be screwed Age: 30, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Probably be homeless.  Age: 39, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  I've been able to get by with bills and living expenses  Age: 29, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  paid for food and medicine which on a good day is very hard  Age: 79, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Eviction Age: 41, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  It would depend on how long it took me to get back to full-time work.  Age: 49, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  1 would have to live in my car Age: 72, Income: Under $25,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It helped me buy the things that was needed most  Age: 59, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Bankruptcy Age: 65, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  I was able to pay some bills that month Age: 66, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It has helped me pay of some bills, buy clothing for myself and my kids, and food  Age: 48, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Pass out Age: 31, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I don't know what | would do Age: 33, Income: More than $150,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped pay bills Age: 50, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Ability to pay bills on time Age: 56, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I may loose my house Age: 57, Income: $75,001 - $100,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Not sure might need to borrow Age: 45, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Needed funds for rent and food Age: 54, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  GOOD DUH Age: 83, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? stay in a very tight budget Age: 64, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  i'll probably be kicked out of my home and homeless.  Age: 20, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me pay bills since | lost my full time Job.  Age: 31, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  It is able to get me thorough Age: 33, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? it would cause great harm Age: 88, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  we all fall off a cliff and the economy crashes  Age: 66, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me pay some bills. Age: 38, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me pay some bills. Age: 38, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  At the moment we are living paycheck to paycheck  Age: 64, Income: Under $25,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? probably be homeless Age: 76, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Loss everything Age: 33, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Its helped me pay bills. Age: 41, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Able to buy more things, less stress Age: 23, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped pay bills Age: 49, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'd be unable to replace air conditioning Age: 48, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I really dont know. I am disabled. Age: 63, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Very sad Age: 33, Income: $100,001 - $150,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped pay bills Age: 49, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Struggle Age: 76, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?     It was very beneficial, allowing me to pay bills and buy necessities for my family.  Age: 47, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  it didn't make a huge difference ering we were playing catch up with our bills.     con:  Age: 29, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  HELP Age: 67, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | will pull out funds from savings Age: 60, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  | would be unable to pay my bills coming up.  Age: 32, Income: Under $25,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Paid off one bill Age: 33, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me pay the rent and bills Age: 61, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"What effect has receiving this additional money had on you?  Helped me to move to the region of my new job  Age: 24, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Would not be able to stay at home and care for autistic adult son. Would have to place him in group care and return to work. Age: 69, Income: $50,001 - $75,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'm not getting any aid. Just the one time 1200. If I didn't get it | wouldn't have been able to fill my kids prescriptions.  Age: 50, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I have $20 in my account what do u think Age: 46, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  not much as long as social security continues. without SSec, I'd starve  Age: 75, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  My daughter and i already lost our home before the pandemic so it would make things even harder without the help     Age: 40, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  It would be financially devastating to me, and I would struggle greatly to make ends meet, or even maintain my housing. Age: 40, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I'm facing eviction because we don't have the law that our landlord can't put us out so I'm facing eviction luckily we are not getting our power cut off because the power company is working with people  Age: 48, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be in dire straights like | always am. Age: 68, Income: Under $25,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would be homeless no food or meds Age: 63, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  we could end up being evicted unless my husband's hours pick up      Age: 45, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  We will likely be evicted from being unable to pay rent due to loss of work from COVID.  Age: 49, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  Eviction Age: 41, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I really dont know. I am disabled. Age: 63, Income: $25,000 - $50,000  il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid?  I would be in shit city. | am looking forward to that next check because | am a senior and I cannot buy enough healthy foods because of the costs that have been seriusly inflated.  Age: 76, Income: Under $25,000 il DATA FOR PROGRESS "
"Helped a little bit Age: 42, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"What would happen to you if you lost the aid you're currently receiving or don’t receive more aid? | would loose my housing Age: 61, Income: Under $25,000  il DATA FOR PROGRESS "
"it has been used for buying food and other supplies  Age: 73, Income: $75,001 - $100,000 il DATA FOR PROGRESS "
"Helping with food and debt Age: 52, Income: $100,001 - $150,000 «il DATA FOR PROGRESS "
"Using to pay for the extra expense of groceries  Age: 51, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"Gave me some cushion Age: 60, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"| paid off some debt Age: 49, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"Helped paid bills, feed me, bought cleaning supplies  Age: 53, Income: Under $25,000 il DATA FOR PROGRESS "
"Paid for a major carrepair so i couldcontinue to get to work  Age: 52, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"Have us ability to rent apartment Age: 29, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"It has saved me literally. Age: 51, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"helped me pay my utility bills and groceries Age: 61, Income: Under $25,000 «il DATA FOR PROGRESS "
"It helped me pay my rent Age: 56, Income: Under $25,000 «il DATA FOR PROGRESS "
"helped out a little Age: 65, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"| put it toward paying bills and savings. Age: 48, Income: Under $25,000 «il DATA FOR PROGRESS "
"We paid bills and bought groceries. Age: 63, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"It has helped me provide for my family during the crisis.  Age: 22, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"it has enabled me to pay some bills Age: 75, Income: More than $150,000 «il DATA FOR PROGRESS "
"My family is needing more to survive and pay bills  Age: 40, Income: Under $25,000 il DATA FOR PROGRESS "
"Helped me with bills Age: 31, Income: Under $25,000 il DATA FOR PROGRESS "
"Helped pay bills Age: 59, Income: $50,001 - $75,000 «il DATA FOR PROGRESS "
"Its helped me get things i couldnt afford before  Age: 32, Income: Under $25,000 il DATA FOR PROGRESS "
"It helped out on bills& food Age: 60, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"It has helped me a lot with bills and all Age: 22, Income: More than $150,000 il DATA FOR PROGRESS "
"It helped me pay bills. Age: 34, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"I'm not struggling anymore Age: 23, Income: $75,001 - $100,000 «il DATA FOR PROGRESS "
"It helped me with the cost of prescription medications.  Age: 63, Income: $50,001 - $75,000 il DATA FOR PROGRESS "
"Was able to keep my rent current. Age: 58, Income: Under $25,000 «il DATA FOR PROGRESS "
"It was a little help, not enough Age: 63, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Helped a lot with bills Age: 34, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"Was able to pay my car off Age: 29, Income: Under $25,000 «il DATA FOR PROGRESS "
"Had helped us make important purchases Age: 39, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"Definitely helped with medical expenses for my son.  Age: 36, Income: $100,001 - $150,000 il DATA FOR PROGRESS "
"It was nice to be able to meet our bills each month and pay off some. Couldnt have without i     Age: 73, Income: $25,000 - $50,000 il DATA FOR PROGRESS "
"I gave it to my local food bank Age: 65, Income: More than $150,000 «il DATA FOR PROGRESS "
"Yes. It helped build my savings Age: 30, Income: $25,000 - $50,000 «il DATA FOR PROGRESS "
"paid off some bills Age: 73, Income: Under $25,000 il DATA FOR PROGRESS "
